Iteration,Error_1,Error_2,Error_3,Error_Mean,Loss_1,Loss_2,Loss_3,Loss_Mean,Score,Features_n,Alpha,Lambda,Lambda_bias,Coef1_1,Coef2_1,Coef3_1,Coef4_1,Rési1_1,Rési2_1,Rési3_1,Rési4_1,Coef1_2,Coef2_2,Coef3_2,Coef4_2,Rési1_2,Rési2_2,Rési3_2,Rési4_2,Coef1_3,Coef2_3,Coef3_3,Coef4_3,Rési1_3,Rési2_3,Rési3_3,Rési4_3,Coef1_4,Coef2_4,Coef3_4,Coef4_4,Rési1_4,Rési2_4,Rési3_4,Rési4_4,PosInitiale_1,PosInitiale_2,PosInitiale_3,PosInitiale_4,Logging
17,0.721154,0.698113,0.701923,0.707063333333333,1.636249,1.726365,1.737449,1.700021,1.20202251499667,9,2.54971296288404,1.62105420273818,1.50360797223373,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
18,0.548077,0.537736,0.451923,0.512578666666667,1.587975,1.412864,1.375044,1.45862766666667,0.747661424543111,10,1.08749691650486,1.18190219140427,2.08576936214569,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
19,0.692308,0.745283,0.730769,0.722786666666667,1.69272,1.712127,1.765936,1.72359433333333,1.24579100287556,6,2.31870113056505,2.31840093119247,0.30904616030317,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
20,0.413462,0.386792,0.375,0.391751333333333,1.183387,1.034738,0.979105,1.06574333333333,0.417506371824444,12,0.018640009062751,1.61696647568908,0.566689682543218,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1
21,0.490385,0.462264,0.461538,0.471395666666667,1.272182,1.639689,1.373732,1.42853433333333,0.673404894417889,15,2.47424490392592,1.51349371648542,0.350528353203767,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1
22,0.625,0.669811,0.586538,0.627116333333333,1.732351,1.740904,1.629221,1.70082533333333,1.06661534668044,7,0.00880275472792857,1.36945910373103,1.72675074738545,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1
23,0.461538,0.471698,0.442308,0.458514666666667,1.617366,1.226213,1.232968,1.358849,0.623052196285333,9,0.905502655424461,2.72389413060593,2.1519117540872,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1
24,0.490385,0.424528,0.413462,0.442791666666667,1.471711,1.176109,1.23455,1.29412333333333,0.573027027638889,15,1.01474448979817,1.06347409627587,2.23830410085338,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1
25,0.384615,0.443396,0.548077,0.458696,1.126056,1.319303,1.391355,1.27890466666667,0.586628454981333,14,0.712186256299902,1.63506032759145,2.75790308981071,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1
26,0.586538,0.518868,0.509615,0.538340333333333,1.692254,1.714623,1.742734,1.716537,0.924081100759,8,0.653362554595109,2.63464428548373,1.56074609088806,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1
27,0.586538,0.641509,0.625,0.617682333333333,1.534536,1.58958,1.512525,1.545547,0.954657077236333,9,1.89858894092329,0.786114048503688,0.167956703882168,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
28,0.451923,0.471698,0.432692,0.452104333333333,1.402659,1.492747,1.566101,1.487169,0.672355549299,8,0.474565624300432,1.39056594237021,2.15653699715018,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
29,0.423077,0.584906,0.634615,0.547532666666667,1.269929,1.543232,1.546403,1.453188,0.795667900808,11,1.74437422495403,1.38141125909948,1.83204712857239,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
30,0.394231,0.339623,0.423077,0.385643666666667,1.395707,1.010964,1.076263,1.160978,0.447723812839333,15,1.12898175319648,0.987627230216259,0.772671308575245,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1
